Watching for file changes with StatReloader
System check identified some issues:

WARNINGS:
?: (2_0.W001) Your URL pattern '^/test$' has a route that contains '(?P<', begins with a '^', or ends with a '$'. This was likely an oversight when migrating to django.urls.path().
?: (urls.W005) URL namespace 'admin' isn't unique. You may not be able to reverse all URLs in this namespace

System check identified 2 issues (0 silenced).
[12/Apr/2021 20:08:16] "GET /admin/ HTTP/1.1" 200 3284
[12/Apr/2021 20:08:16] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
[12/Apr/2021 20:08:16] "GET /static/admin/css/base.css HTTP/1.1" 304 0
[12/Apr/2021 20:08:16] "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
[12/Apr/2021 20:08:16] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
[12/Apr/2021 20:08:16] "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
[12/Apr/2021 20:08:16] "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
[12/Apr/2021 20:08:16] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
[12/Apr/2021 20:08:16] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
[12/Apr/2021 20:08:16] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
[12/Apr/2021 20:08:16] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
[12/Apr/2021 20:08:16] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
Not Found: /favicon.ico
[12/Apr/2021 20:08:16] "GET /favicon.ico HTTP/1.1" 404 2103
[12/Apr/2021 20:28:30] "GET /admin/ HTTP/1.1" 200 3284
[12/Apr/2021 20:28:31] "GET /admin/ HTTP/1.1" 200 3284
[12/Apr/2021 20:28:32] "GET /admin/ HTTP/1.1" 200 3284
Not Found: /
[12/Apr/2021 20:29:00] "GET / HTTP/1.1" 404 2052
[12/Apr/2021 20:57:30] "GET /admin/ HTTP/1.1" 200 3284
[12/Apr/2021 20:57:32] "GET /admin/ HTTP/1.1" 200 3284
[12/Apr/2021 20:57:33] "GET /admin/ HTTP/1.1" 200 3284
